,zipcode,lat,long,price
0,98001,47.309019889502764,-122.27064640883978,280804.6906077348
1,98002,47.30877989949749,-122.2133567839196,234284.0351758794
2,98003,47.31574107142857,-122.31005357142858,294111.27857142856
3,98004,47.6161832807571,-122.20518927444795,1355927.0820189274
4,98005,47.611531547619045,-122.16726785714285,810164.875
5,98006,47.55804929577465,-122.14678873239436,860237.4647887324
6,98007,47.6105219858156,-122.14207801418439,617105.085106383
7,98008,47.613311660777384,-122.11583392226149,645507.3780918728
8,98010,47.33321,-121.99947,423665.99
9,98011,47.75519230769231,-122.20117435897436,490351.4666666667
10,98014,47.67148790322581,-121.84853225806452,455617.1129032258
11,98019,47.73709578947368,-121.95483157894738,424788.74736842106
12,98022,47.21145042735043,-121.99516666666666,315709.30341880344
13,98023,47.30862244488978,-122.36428256513027,286732.79158316634
14,98024,47.558418518518515,-121.90525925925927,580526.7901234567
15,98027,47.52158321167883,-122.04272506082725,617141.4209245743
16,98028,47.755137809187275,-122.24602826855123,462480.035335689
17,98029,47.559557009345795,-122.00565732087227,612653.6105919003
18,98030,47.3690265625,-122.19041796875,296187.98046875
19,98031,47.40378576642336,-122.18922627737226,300539.8905109489
20,98032,47.373555999999994,-122.278848,251296.24
21,98033,47.680088194444444,-122.18765972222224,803719.5231481482
22,98034,47.720687889908255,-122.2073743119266,521652.8587155963
23,98038,47.37060406779661,-122.03178983050846,366867.6
24,98039,47.62584,-122.23353999999999,2160606.6
25,98040,47.55984609929078,-122.22559219858155,1194230.0212765958
26,98042,47.36566532846715,-122.11545255474452,311632.10583941604
27,98045,47.4733592760181,-121.75903619909502,439471.0814479638
28,98052,47.68053780487805,-122.11927700348431,645231.456445993
29,98053,47.679900740740734,-122.02281728395062,678163.0592592593
30,98055,47.45866604477612,-122.20276119402985,304262.1082089552
31,98056,47.509657142857144,-122.18277832512315,420890.54926108377
32,98058,47.44608483516483,-122.14614285714286,353608.63516483514
33,98059,47.492736111111114,-122.13904700854701,493552.53205128206
34,98065,47.53173,-121.86192903225805,527961.2032258065
35,98070,47.41742288135593,-122.4638220338983,487479.6271186441
36,98072,47.75101648351649,-122.13197435897436,569958.4652014652
37,98074,47.62402568181818,-122.04468636363636,685913.9704545455
38,98075,47.58749080779944,-122.02252367688023,790576.6545961003
39,98077,47.74592171717171,-122.06120202020202,682774.8787878788
40,98092,47.30183646723646,-122.16799715099714,334921.0626780627
41,98102,47.63460666666667,-122.32224761904762,901258.2666666667
42,98103,47.676023920265784,-122.34412956810631,584919.2109634551
43,98105,47.665066812227074,-122.2943406113537,862825.2314410481
44,98106,47.53624101796407,-122.35680838323353,319759.93113772455
45,98107,47.66978984962406,-122.37557142857142,579053.4172932331
46,98108,47.549769354838716,-122.30687096774194,355678.51612903224
47,98109,47.635601834862385,-122.35009174311926,879623.6238532111
48,98112,47.62961858736059,-122.29786617100373,1095499.342007435
49,98115,47.68548421955403,-122.30178902229845,619900.5471698113
50,98116,47.57388145896657,-122.39359574468085,618905.094224924
51,98117,47.686889150090416,-122.37858951175407,576795.007233273
52,98118,47.543804133858266,-122.27556692913386,417637.43307086616
53,98119,47.64003423913043,-122.36691847826087,849448.0163043478
54,98122,47.610160344827584,-122.29977241379311,634360.1793103449
55,98125,47.71704268292683,-122.30120731707318,469455.77073170734
56,98126,47.54458418079096,-122.37527401129944,424706.3559322034
57,98133,47.73561194331984,-122.34382186234818,386997.3967611336
58,98136,47.53880684410647,-122.38820532319393,551688.6730038023
59,98144,47.58629329446064,-122.29841107871721,594547.6501457726
60,98146,47.50205520833333,-122.35830555555556,359483.2395833333
61,98148,47.437436842105264,-122.32931578947368,284908.5964912281
62,98155,47.754863228699556,-122.3035403587444,423725.69506726455
63,98166,47.45521181102362,-122.35030314960629,464231.8385826772
64,98168,47.489700000000006,-122.30787732342009,240328.3717472119
65,98177,47.742380784313724,-122.36928235294118,676185.3921568628
66,98178,47.49911755725191,-122.24696946564885,310612.75572519086
67,98188,47.44730955882353,-122.28099264705882,289078.3455882353
68,98198,47.390787857142854,-122.31574285714287,302878.8821428571
69,98199,47.64809810725552,-122.39846056782334,791820.807570978
